,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
1225,Riverdale,3.5,"As a menacing and musical new normal takes shape in Riverdale, Betty helps Jughead restore order; Kevin fights for his place in the spotlight.",2701.0,,42.0
1226,The Crown,8.4,"Charles is caught in a deadly avalanche, prompting both him and Diana to reevaluate their commitment to their troubled marriage.",2700.0,,49.0
1227,The Reckoning,4.7,"Grace, a young widow haunted by the recent suicide of her husband Joseph, is falsely accused of being a witch by her Landlord after she rejects his advances.",2699.0,,110.0
1228,Made in Abyss: Fukaki Tamashî no Reimei,8.1,"Riko, Reg, and their new friend, Nanachi, continue their journey down the Abyss and arrive at the 5th layer. But in order for them to continue to the 6th layer, they must encounter the haunting figure of Nanachi's past: Bondrewd the Novel.",2698.0,,113.0
1229,Star Trek: Discovery,6.2,"Georgiou uncovers the true depths of the plot against her, leading her to a revelation about how deeply her time on the U.S.S. Discovery truly changed her.",2697.0,,49.0
1230,Tread,7.1,"Pushed to his breaking point, a master welder in a small town at the foot of the Rocky Mountains quietly fortifies a bulldozer with 30 tons of concrete and steel and seeks to destroy those he believes have wronged him.",2695.0,66.0,89.0
1231,Cider no yô ni kotoba ga wakiagaru,6.9,"A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a shy girl who wears a mask and only does online videos.",2690.0,,87.0
1232,Gangs of London,8.6,Add a Plot,2689.0,,56.0
1233,Tom Segura: Ball Hog,7.3,"Tom Segura scores laughs with uncomfortably candid stories about mothers, fathers, following your dreams - and other things you'd rather not think about.",2687.0,,70.0
1234,Woke,6.3,Keef is an African-American cartoonist on the verge of mainstream success when an unexpected incident changes his life.,2685.0,,25.0
1235,Fear the Walking Dead,8.1,"Al and Dwight go rogue on a recon mission for Ginny to follow a lead thought lost, but Al must choose between what she has now and what she's chasing.",2674.0,,41.0
1236,Last and First Men,6.7,"Two billion years ahead of us, a future race of humans finds itself on the verge of extinction. Almost all that is left in the world are lone and surreal monuments, beaming their message into the wilderness.",2671.0,80.0,70.0
1237,Zima,5.1,"On a gas station, Alexander and his father are attacked. The father dies, and Alexander becomes a dangerous witness. He is forced to start the persecution himself and very soon turns from a victim into a cold-blooded hunter.",2666.0,,76.0
1238,Zappa,7.6,An in-depth look into the life and work of musician Frank Zappa.,2660.0,76.0,129.0
1239,Mirzapur,7.1,Akhandanand visits a sexologist while Beena is shaken by the traumatic incident she endured. Guddu has to push himself beyond while Golu has to learn the trade. They make use of Dimpy's old friend and send the Tripathis a strong message.,2660.0,,38.0
1240,Disney Gallery: Star Wars: The Mandalorian,8.4,"A behind the scenes look at the making of the Disney+ series ""The Mandalorian.""",2659.0,,33.0
1241,The Last Dance,9.3,The Bulls face stiff challenges to their reign in 1997 against Utah and in 1998 versus Indiana. Role player Steve Kerr makes his mark on the dynasty.,2658.0,,49.0
1242,Ask Tesadüfleri Sever 2,7.0,"An unforgettable love that overcomes all obstacles, even time, distance and falling apart.",2656.0,,124.0
1243,Cómo sobrevivir soltero,6.0,Five guys decide to help his best friend over come his recent break up by showing him a sex driven and crazy life style people have when they are single.,2650.0,,
1244,Batman: Death in the Family,5.6,"An anthology series of 5 DC showcase: Death in the Family, Sgt. Rock, Adam Strange, The Phantom Stranger and Death.",2646.0,,96.0
1245,Friendsgiving,4.4,"Molly and Abbey, along with their crew of close friends and acquaintances, host a dysfunctional, comical and chaotic Thanksgiving dinner.",2645.0,,95.0
1246,Black Narcissus,5.8,Adaptation of the 1939 novel by Rumer Godden. A group of nuns face challenges in the hostile environment of a remote old Himalayan palace that they wish to make a convent.,2643.0,,176.0
1247,Vikings,7.6,"Bjorn faces a difficult decision. Ubbe and Torvi leave Kattegat, in search of new lands and perhaps old friends. Oleg's plans for the invasion of Scandinavia are taking shape, and King ...                See full summary »",2642.0,,44.0
1248,Hasmukh,5.3,"A timid, small-town comedian's long-awaited big break takes a dark turn when he realizes committing murder is the only way to keep his onstage mojo.",2634.0,,34.0
1249,Once Upon a Snowman,7.0,Olaf's first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.,2633.0,,8.0
1250,Algorithm: Bliss,6.2,"Vic Beckett, a brilliant researcher, creates the ultimate App that taps into the pleasure center of the brain and transmits a feeling of nirvana to the user. Instant celebrity and unlimited...                See full summary »",2630.0,,101.0
1251,Welcome to Chechnya,7.9,A group of activists risk their lives fighting for LGBTQ+ rights in Chechnya.,2630.0,86.0,107.0
1252,Jim Jefferies: Intolerant,7.2,"Between scenes from an excruciating date, Jim Jefferies digs into generational differences, his own bad habits and the shifting boundaries in comedy.",2627.0,,66.0
1253,Christmas on the Square,5.2,"An embittered scrooge of a woman plans to sell her small town, regardless of the consequences to the people who live there. However, a kindhearted angel arrives and shows her what would happen before she mends her ways and redeems herself.",2626.0,,98.0
1254,The Expanse,8.8,Naomi comes face to face with Filip. Holden and Fred turn the tables. Avasarala closes in on Marco's plot.,2625.0,,52.0
1255,Go!,5.9,A thrilling family film about a boy who must overcome tremendous odds and his own recklessness to achieve his dream of winning the National Go Kart Championship.,2624.0,,102.0
1256,Girl,4.9,"A young woman returns to her small hometown intent on killing her abusive father only to discover someone murdered him the day before. As the girl searches for answers, she uncovers a family legacy more dangerous than she'd imagined.",2621.0,,92.0
1257,Murder to Mercy: The Cyntoia Brown Story,6.4,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",2620.0,,96.0
1258,Monsterland,5.6,"Encounters with Gothic beasts, including fallen angels and werewolves, broken people are driven to desperate acts in an attempt to repair their lives, ultimately showing there is a thin line between man and beast.",2617.0,,50.0
1259,Fireball: Visitors from Darker Worlds,7.0,A documentary from Werner Herzog about meteors and comets and their influence on ancient religions and other cultural and physical impacts they've had on Earth.,2612.0,72.0,97.0
1260,The Expanse,8.2,"Holden tries to convince Fred Johnson to destroy the last sample of protomolecule. Naomi gets an important lead to her son. On Luna, Avasarala begins to hunt for Marco Inaros.",2612.0,,52.0
1261,Agents of S.H.I.E.L.D.,9.5,The final fight against the Chronicoms begins. A familiar face returns.,2606.0,,43.0
1262,Star Trek: Discovery,6.0,"Discovery ventures to the Verubin Nebula, where Burnham, Saru, and Culber make a shocking realization about the origin of the Burn as the rest of the crew faces an unexpected threat.",2606.0,,55.0
1263,Fear the Walking Dead,8.3,John is settling in as one of Virginia's rangers when a mysterious death sends him on an investigation that makes him question everything he thought about himself.,2603.0,,50.0
1264,Raised by Wolves,7.8,"Marcus' decisions stress his relationship to his family as he struggles to maintain his clout as leader of the Mithraic. Mother is able to see Marcus for who he truly is, which threatens ...                See full summary »",2602.0,,49.0
1265,Feral State,6.2,A misfit gang of runaways and orphans are taken in by a dark and charismatic father figure who together wreak havoc throughout swamps and trailer parks of central Florida.,2599.0,,84.0
1266,B Positive,6.3,"Newly divorced dad Drew faces finding a kidney donor and is at the end of his rope and his hope when he runs into Gina, a rough-around-the edges woman from his past who volunteers her own.",2588.0,,22.0
1267,Us,7.4,The poignant and hilarious story of the Petersens during their vacation across Europe where the father Douglas tries to win back the love of his wife Connie and become reconciled with their son Albie.,2585.0,,232.0
1268,Slaxx,5.4,"When a possessed pair of jeans begins to kill the staff of a trendy clothing store, it is up to Libby, an idealistic young salesclerk, to stop its bloody rampage.",2582.0,64.0,77.0
1269,Mirzapur,7.4,Guddu and Golu are still not a threat to the Tripathis. Akhandanand assigns Munna for some work. Beena hides a big secret. Guddu and Golu's make an alliance with Lala. Golu gets Robin's expertise. Sharad's emotions overpower him.,2577.0,,58.0
1270,30 Years and 15 Minutes,9.1,"Romania is on the last place in Europe in terms of highway kilometers, but on the first place in the number of deaths in road accidents. Entrepreneur Stefan Mandachi builds 1 meter of highway on his private property.",2575.0,,95.0
1271,No matarás,6.2,A good-natured man has an unexpected deadly confrontation. Instincts kick in to clean up the mess caused in the name of self-defense but does one really get away free after killing someone?,2570.0,,92.0
1272,The Innocence Files,8.0,Cases of wrongful conviction that the Innocence Project and organizations within the Innocence Network have worked to highlight and overturn.,2567.0,,573.0
1273,Sri Bharatha Baahubali,7.6,"Bharatha and Baahubali lead a happy-go-lucky existence in a small town. Fate makes them meet Sri, an NRI girl, who is in India on a mission. What follows is a series of adventures and misadventures in the pursuit of Sri's goal.",2563.0,,164.0
1274,Varane Avashyamund,6.9,"Neena is a French teacher and single parent to Nikitha, who is obsessed with the concept of an arranged marriage. Their life changes when a retired army man and another young man come to stay at the apartment.",2561.0,,145.0
1275,Your Honor,7.4,"As the son of a reputed judge gets involved in a hit and run, we see how even the most upright people break In order to save their family. The judge sacrifices relationships and subverts the law to save his son from a vengeful gangster.",2556.0,,35.0
1276,The Expanse,8.6,Holden and Fred deal with infiltrators on Tycho. Drummer's past comes back to haunt her. Amos returns to Baltimore. Alex and Bobbie's investigation on Mars leads to rogue soldiers.,2553.0,,52.0
1277,Mocvara,7.0,"Facing his own past, an investigator unravels the mystery behind three cruel, ritualistic murders.",2552.0,,
1278,La Corazonada,5.4,"Pipa begins her career as a police detective alongside her mentor, the controversial detective Francisco Juánez. Together they must solve the violent murder of a 19-year-old girl.",2551.0,,116.0
1279,Vikings,7.3,"Ubbe and Torvi are able to meet their unknown wanderer while in Iceland; Bjorn reconsiders who his enemies truly are after Erik's scouting mission,which prompts him to convince an old nemesis to join him; Ivar reunites with a close figure.",2536.0,,45.0
1280,Altered Carbon,6.6,Kovacs contends with ghosts from his past as he's tortured by Carrera. Poe seeks help from a fellow AI. Trepp gets a lead on the man she's after.,2535.0,,53.0
1281,Disturbing the Peace,3.2,"A small-town marshal who hasn't carried a gun since he left the Texas Rangers after a tragic shooting, must pick up his gun again to battle with a gang of outlaw bikers that has invaded the town to pull off a brazen and violent heist.",2533.0,,91.0
1282,Tommy,6.5,A former high-ranking NYPD officer becomes the first female Chief of Police in Los Angeles.,2532.0,,
1283,Fargo,7.3,"Loy retaliates, Josto asserts his leadership, Ethelrida makes a disturbing discovery, and the walls begin to close in on Odis.",2525.0,,56.0
1284,Areeka Podcast,9.7,"Areeka is a visual podcast with a keen eye for social topics, from psychology to common myths.",2525.0,,
1285,Lovecraft Country,8.3,"In the throes of the Korean War, nursing student Ji-ah crosses paths with a wounded Atticus, who has no recollection of their violent first encounter.",2517.0,,63.0
1286,Hillary,6.6,"A look at the life and work of Hillary Rodham Clinton, interweaving biographical chapters of her life with behind-the-scenes footage from her 2016 U.S. presidential campaign.",2510.0,,253.0
1287,Ricos de Amor,5.9,"Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.",2506.0,,104.0
1288,The Undoing,7.7,Grace hears Jonathan's side of the story and finds herself being followed by someone close to Elena.,2504.0,,54.0
1289,La terre et le sang,5.0,"Saïd owns a sawmill deep in the woods, which he decides to sell. Little does he know that one of his apprentices was cornered by his brother and forced to hide a large amount of cocaine inside the factory.",2504.0,,80.0
1290,Gentefied,7.5,"Based on the digital series of the same title, Gentefied centers on three cousins who band together to keep their Grandfather's popular Boyle Heights taco shop in business as the ...                See full summary »",2497.0,,
1291,Supernatural,8.3,"Dean and Sam press their luck in a winner-takes-all game of pool. Meanwhile, Castiel hunts down a would-be murderer, but not for reasons one might think.",2496.0,,42.0
1292,Scam 1992: The Harshad Mehta Story,9.1,"In the 70's, a Ghatkopar-based middle-class lad joins the stock market and soon picks up the art of jobbing. where will this new found skill take him in future?",2494.0,,
1293,Altered Carbon,6.6,"With the fate of the whole planet on the line, Kovacs, Quell and team race to find Konrad Harlan and stop a catastrophic blast of Angelfire.",2490.0,,53.0
1294,Modo Avião,5.1,"Follows the young Ana, who studied fashion design dreaming of becoming a great stylist but dropped everything to become a digital influencer for a famous brand.",2490.0,,96.0
1295,Mirzapur,7.1,Beena gives birth to a boy. Lala is unhappy with Guddu's closeness to Shabnam. Golu questions what she has become. Maurya is frustrated with the setbacks. Munna takes matters in his own hands with Maqbool and loyalties are at stake.,2489.0,,55.0
1296,Raised by Wolves,7.6,"Sue is determined to keep the children safe, and in doing so, struggles with whether or not she can trust Mother. Meanwhile, a new threat arises and an increasingly erratic Marcus causes the Mithraic to question their leader.",2488.0,,45.0
1297,Raised by Wolves,7.3,"As Marcus continues to embrace his Mithraic devotion, Sue worries he may no longer have her and Paul's best interests at heart. Mother experiences what she believes to be malfunctions, and Hunter works on a secret project with Father.",2487.0,,49.0
1298,The Last Kingdom,9.4,"As he awaits Aethelflaed's reinforcements, Edward besieges Winchester. Uhtred isn't convinced that conquest is really Sigtryggr's ultimate aim. Stiorra seeks to follow her own path. The wind shifts in Winchester.",2483.0,,55.0
1299,Bigfoot Family,5.8,"Follow up to Son of Bigfoot: Father uses his new fame to fight against an Alaska oil company but when he disappears the son, the mother, a raccoon and a bear head North to rescue him.",2481.0,,89.0
1300,Otac,7.6,"A small town in Serbia. Nikola, day laborer and father of two, is ordered to give up his children to social services after poverty and hunger drive his wife to commit a desperate act. Until...                See full summary »",2479.0,,120.0
1301,Mainstream,5.0,"In this cautionary tale, three people struggle to preserve their identities as they form an eccentric love triangle within the fast-moving internet age.",2478.0,,94.0
1302,Mother: Mazâ,6.8,"Akiko (Masami Nagasawa) is a single mother and her son is Shuhei (Sho Gunji). Akiko casually has sex with other men, including Ryo (Sadao Abe). Akiko is the only person whom Shuhei can rely on. One day, Shuhei makes a shocking decision.",2477.0,,126.0
1303,The Night,5.5,"An Iranian couple living in the US become trapped inside a hotel when insidious events force them to face the secrets that have come between them, in a night that never ends.",2475.0,68.0,105.0
1304,Flesh and Blood,7.1,"Lives of three siblings are disrupted when their recently widowed mother declares she's in love with a new man. Tangled web of secrets, lies, rivalries and betrayals eventually leads to a murder.",2472.0,,182.0
1305,Fargo,7.4,"The Smutnys receive unexpected guests, Josto and Gaetano reunite, Loy challenges the status quo and Oraetta is caught.",2470.0,,60.0
1306,The Frog,8.3,The story of three friends and the events that happen to them in the streets of Tehran from one morning until the end of the day.,2469.0,,48.0
1307,Mirzapur,7.0,"Sharad and JP Yadav manage to dent Akhandanand's political plans and JP Yadav then calls for a celebration with Zarina. After suffering a personal loss, Guddu takes upon an unexpected responsibility and Golu doesn't take this too well.",2468.0,,56.0
1308,Lovecraft Country,7.1,"After making a devil's bargain with William, Ruby steps into the charmed shoes of a white woman, but her transformation only fortifies her resentment of the racial divide. A betrayal by ...                See full summary »",2466.0,,61.0
1309,Mirzapur,7.1,Akhandanand reprimands Munna and Sharad. Bablu's diary becomes key in learning about the Tripathi's. Sharad introduces Akhandanand and Munna to the Tyagis. A coincidence triggers an alliance between parties that have a common goal.,2465.0,,51.0
1310,Paragon: The Shadow Wars,4.9,"In a world where reapers and demons roam, people must find a new place to call the afterlife or risk never having lived at all.",2465.0,,
1311,Amazing Stories,7.3,"While restoring an old Iowa farmhouse, Sam discovers a time portal in the storm cellar that transports him to 1919.",2461.0,,53.0
1312,After Life,9.0,"Grieving over another loss, Tony asks his friends and co-workers for space, not sympathy. Later, he wrestles with what it means to move on.",2456.0,,30.0
1313,Embattled,6.5,"A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.",2455.0,,117.0
1314,Bridgerton,7.2,"Daphne Bridgerton debuts on London's marriage market as a new gossip sheet sets high society abuzz. Simon, the eligible Duke of Hastings, returns to town.",2455.0,,58.0
1315,Jujutsu Kaisen,9.5,"Yuji and Kento continue their battle against Mahito, who develops his powers in unexpected ways.",2450.0,,24.0
1316,The Letter Room,6.8,"When a corrections officer is transferred to the letter room, he soon finds himself enmeshed in a prisoner's deeply private life.",2442.0,,33.0
1317,Mounam,7.1,"When a person is alone, there are many emotions that start running off in his mind. This film is a psychological thriller that captures these emotions of a different kind. When a person is silent, the mind is making a lot of sound.",2441.0,,142.0
1318,Vikings,7.2,"Ivar, Hvitserk, Prince Oleg and Prince Igor return to Kiev but the latter faces the consequences. With the leadership vacancy in Kattegat Erik, Gunnhild and Ingrid are making plans to fill ...                See full summary »",2440.0,,45.0
1319,Everything's Gonna Be Okay,7.4,"After their father's untimely death, Nicholas and his two half-sisters are left to cope with not only a devastating loss, but also the realization that Nicholas is the one who will have to rise to the occasion and hold it all together.",2439.0,,30.0
1320,BoJack Horseman,8.4,"When BoJack starts teaching an acting class at Wesleyan, Hollyhock sets some boundaries in their relationship.",2437.0,,26.0
1321,Tonikaku Kawaii,7.8,"Having grown up ridiculed for his bizarre name, Nasa Yuzaki strives to be remembered for something more. Fortunately, it seems he's on the right path, ranking first in the nation's mock ...                See full summary »",2436.0,,23.0
1322,Masumlar Apartmani,7.9,"Looking like a young, handsome and charismatic businessman from the outside, Han is filled with his family's painful memories and tragedy inside. After returning from the U.S., he devotes ...                See full summary »",2433.0,,
1323,The Raikar Case,7.2,"An edge-of-the-seat thriller about family, love, deceit, and the secrets that wrench us apart. It grapples with the dilemma of 'Will You Choose Truth Over Family?', and if trust can ever really be absolute.",2433.0,,
1324,"Ariana Grande: Excuse Me, I Love You",6.5,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,2432.0,,97.0
1325,13 Reasons Why,7.7,"Strengthened by the struggles they've endured, the friends say goodbye to high school and look toward the future in an emotional series finale.",2432.0,,98.0
1326,Six Windows in the Desert,6.3,A true story that took place in Riyadh about a play that talks about the moderation of Islam with the presence of Islamic extremists in the audience .,2431.0,,33.0
1327,Star Trek: Discovery,6.6,"After capturing the U.S.S. Discovery, Osyraa seeks a meeting with Admiral Vance while Burnham and the crew must overcome unimaginable odds as they attempt to regain command of their ship.",2430.0,,47.0
1328,El robo del siglo,7.3,TV series follows the robbery of Colombia's central bank in October 1994 when a thieves made off with $33million.,2427.0,,
1329,Odio l'estate,6.6,"Three families end up in the same rented house. Throughout the summer, they become friends and rediscover how to enjoy life.",2427.0,,110.0
1330,Sweat,6.6,"Three days in the life of fitness motivator Sylwia Zajac, a social media celebrity surrounded by loyal employees and admirers, who is really looking for true intimacy.",2426.0,74.0,106.0
1331,The 100,7.9,Clarke and her friends attempt to rebuild Sanctum as a new threat rises in the woods.,2426.0,,41.0
1332,Canvas,6.4,"After suffering a loss, a painter finds his inspiration to create again.",2424.0,,9.0
1333,Run On,7.6,"Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life",2419.0,,70.0
1334,Mirzapur,6.8,Guddu and Golu are growing stronger. Guddu strives to become the bahubali of Balia and gets close to Shabnam. Shatrugan doesn't have the same influence as his elder brother. The wheels of a dramatic political coup are set into motion.,2419.0,,48.0
1335,Killing Eve,7.5,"After Eve is shot by Villanelle, she's trying to move on. Villanelle is also moving on, until she is approached by someone from her past. Carolyn is being undermined at work and Kenny is looking for more information about the twelve.",2418.0,,41.0
1336,Mirzapur,7.0,There is a setback in the Tripathi family business. Munna takes a big political step which makes the Tripathi alliances stronger. Ramakant finds an unexpected ally. Golu proposes a deal to Shatrughan. The elections have ended.,2415.0,,52.0
1337,Mao Gakuin no Futekigosha,7.3,A demon mage reincarnates into the body of his descendant hoping to find an era where he can have some peace and quiet. He ends up going to a school run by his significantly weaker descendants.,2415.0,,23.0
1338,Eric Andre: Legalize Everything,6.2,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons, the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",2415.0,,51.0
1339,Nowhere Special,7.5,"When John, a thirty-five-year-old window cleaner, is given only a few months to live, he attempts to find a new, perfect family for his three-year-old son, determined to shield him from the terrible reality of the situation.",2415.0,,96.0
1340,Lalbazaar,7.3,A set of brave cops deal with the dark underbelly and bring some of the most sinister customers to justice.,2408.0,,35.0
1341,Deutschland89,7.8,Martin Rauch experiences the fall of the Berlin Wall in November 1989 during his activities as an East German spy.,2405.0,,50.0
1342,The Expanse,8.7,Amos and Clarissa are trapped in a collapsed building. Naomi contends with her old family. Holden assembles a new crew on the Roci. Alex and Bobbie make a dangerous discovery in the Belt.,2403.0,,49.0
1343,Killing Eve,8.3,"Villanelle visits her family in Russia, and while the quirky reunion starts as an opportunity to reconnect and answer unknowns about her childhood, a profound moment of clarity sends her on a disturbing and downward spiral.",2400.0,,41.0
1344,Supernatural,8.1,"Sam and Dean hit the road to help an old friend, but it appears that their luck may have finally run out and they are the ones who may be in need of rescue.",2400.0,,42.0
1345,Noughts + Crosses,6.2,"Set in a dangerous, alternate world where racism divides society, Noughts + Crosses follows two young people Sephy and Callum, who are divided by their colour but united by love.",2399.0,,60.0
1346,BoJack Horseman,8.7,BoJack gets a new AA sponsor. Todd plans a sophisticated party to impress his parents. Diane gets to know Sonny.,2398.0,,26.0
1347,Domangchin yeoja,6.7,"While her husband is on a business trip, Gamhee meets three of her friends on the outskirts of Seoul. They make friendly conversation but there are different currents flowing independently of each other, both above and below the surface.",2394.0,81.0,77.0
1348,Quarantine Girl,4.6,A woman's mental state deteriorates as she isolates herself during an epidemic.,2393.0,,61.0
1349,The Undoing,8.1,"On the first day of the trial, the prosecution presents shocking evidence, while the defense casts doubt on the police investigation. Later, Henry divulges a secret to Grace.",2392.0,,60.0
1350,Space Force,7.4,"With his beloved satellite severely hobbled, General Naird must decide between a well-reasoned scientific solution and a chimp-led rescue operation.",2392.0,,32.0
1351,Fear the Walking Dead,7.7,"When Dakota goes missing, Strand sends Alicia and Charlie on a search and rescue mission to find her; an unlikely ally provides a new possibility of escape from Virginia.",2388.0,,48.0
1352,Unfit: The Psychology of Donald Trump,6.5,"An eye-opening and shattering analysis of the behavior, psyche, condition, and stability of Donald Trump.",2386.0,,83.0
1353,BoJack Horseman,8.7,"While Paige and Max question Mr. Peanutbutter at his restaurant, a panicked BoJack tries to piece together what's happening.",2379.0,,26.0
1354,Vikings,7.5,Fighting in Greenland means a change of destination and new dangers for Ubbe and company. A death in Kiev brings changes. Gunnhild makes her choice. Ivar gets a surprise and makes a decision.,2378.0,,46.0
1355,Lovecraft Country,7.4,"After Christina mysteriously shows up at her doorstep, Leti confronts Atticus about his plan to surreptitiously return to Florida. Later, in search of missing pages to a crucial text, Leti,...                See full summary »",2376.0,,61.0
1356,Summertime,5.6,"A modern love story, set during a summer on the Adriatic coast. An undeniable attraction unites Ale and Summer, two people from very different worlds.",2376.0,,40.0
1357,Fear the Walking Dead,7.6,"Dwight and Sherry team up with a mysterious faction of people to take down Ginny; when Morgan unexpectedly offers to help, a power struggle ensues.",2371.0,,48.0
1358,Penguin,4.6,It is a spine chilling tale of a pregnant mother who sets out on a dangerous mission to unravel the mystery and save her loved ones.,2370.0,,132.0
1359,Cut Throat City,4.8,"Set after Hurricane Katrina, four boyhood friends out of options reluctantly accept an offer to pull off a dangerous heist in the heart of New Orleans.",2367.0,67.0,123.0
1360,The 100,6.1,Clarke and her friends reckon with all that has happened only to find an unexpected threat looming.,2363.0,,42.0
1361,Betty,6.8,A diverse group of young women navigating their lives through the predominantly male oriented world of skateboarding.,2358.0,,30.0
1362,"Tiger King: Murder, Mayhem and Madness",7.5,"Meet Joe Exotic, the gun-toting operator of an Oklahoma big cat park. He's been accused of hiring someone to kill his chief rival Carole Baskin.",2354.0,,49.0
1363,Fear the Walking Dead,8.0,"A deadly explosion in the oil fields sends June on a mission to save as many lives as possible. But, an investigation by Virginia threatens to undermine June's work.",2352.0,,41.0
1364,Khorshid,7.2,"12-year-old Ali and his three friends, together they work hard to survive and support their families. In a turn of events that seems miraculous, Ali is entrusted to find hidden treasure underground.",2346.0,70.0,99.0
1365,World's Most Wanted,7.2,Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles five of the world's most wanted.,2343.0,,
1366,Attaway General,1.0,"When four very different teens arrive at Attaway General Hospital's prestigious volunteer program, they must learn to work together to survive the program and make a difference in the lives of patients.",2342.0,,
1367,Doom Eternal,8.7,"In this sequel to Doom (2016), Hell has taken Earth, so it's up to the Doom Slayer, the ultimate demon-killing machine created by a mystical force, to rip and tear the forces of Hell apart. However, Hell is not alone in this fight.",2341.0,,
1368,Reality Z,5.4,"A zombie apocalypse that imprisons participants and producers of a reality show called Olimpo, The House of the Gods. The studio becomes a shelter for those who seek salvation in Rio de Janeiro where chaos and hopelessness begin to rule.",2341.0,,30.0
1369,Draupathi,4.0,"Being a village social activist draupathy a strong woman, trying to explore the illegal activity of the fake marriages against a team of lawyers who do so many wrong activities along with her husband and how they solve this issue",2339.0,,159.0
1370,SparkShorts,6.8,"In LOOP, two kids at canoe camp find themselves adrift on a lake, unable to move forward until they find a new way to connect and see the world through each other's eyes.",2338.0,,8.0
1371,Altered Carbon,6.5,"While the planet celebrates Harlan's Day, Kovacs hatches an escape plan, Quell pieces together fragments of her life, and Poe faces a reckoning.",2338.0,,56.0
1372,Vikings,7.4,Trouble at sea heightens divisions near Iceland. A homecoming king with a new friend ends the spousal division threatened by an election in Kattegat. Good Friday is an opportunity for division among the Rus.,2337.0,,43.0
1373,Die Känguru-Chroniken,5.3,Comedy based on the radio comedy and the bestselling books and audio-books by Marc-Uwe Kling.,2332.0,,92.0
1374,Katy Keene,6.3,A group of aspiring artists living in New York City try to make their dreams come true.,2326.0,,42.0
1375,The Undoing,7.6,"As Haley begins to shape the narrative of the case, Franklin uses his resources to help his family.",2324.0,,50.0
1376,La daronne,6.3,A translator working for the police gets involved in the other side of drug dealing.,2319.0,,104.0
1377,Unpaused,7.0,"An anthology that brings together 5 unique creators of Hindi cinema featuring stories of love, new beginnings, second chances, and a glimmer of hope. Set and filmed in the times of the Covid-19 lockdown.",2319.0,,113.0
1378,The Last Shift,5.7,Stanley's last shift at his fast food job takes an unexpected turn when he befriends a young African-American work employee.,2316.0,,90.0
1379,Sotto il sole di Riccione,5.4,"On holiday at Riccione beach, a group of teens get to know each other and help each other get through summer loves' heartache.",2310.0,,101.0
1380,The Toll,5.3,A socially awkward driver and a weary passenger try to make it to their destination while being haunted by a supernatural threat.,2308.0,,80.0
1381,Rams,6.5,A decades-long feud between two sheep farming brothers comes to a head when disaster strikes their flocks.,2308.0,62.0,118.0
1382,Jujutsu Kaisen,8.4,"As Itadori cares for his grandpa, Fushiguro worries that he's carrying a cursed object of rare power. The Occult club messes with something far beyond their understanding.",2308.0,,24.0
1383,Ted Bundy: Falling for a Killer,7.8,"After nearly 40 years of silence, Elizabeth Kendall Ted Bundy's former girlfriend and her daughter Molly share their experiences with unsettling new details about the notorious serial killer.",2307.0,,231.0
1384,Vikings,7.1,Prince Igor receives a hero's welcome in Novgorod but back in Kiev the mood is darker: prince Oleg will not be giving up the fight. Ubbe and the settlers find land but not the golden land,2305.0,,44.0
1385,Locke & Key,7.5,"After the Lockes move into Key House, Bode makes a new acquaintance - and a startling discovery. Tyler and Kinsey try to start over at a new high school.",2304.0,,57.0
1386,Fargo,8.0,"Loy plays with fire, Josto wears his heart on his sleeve, Oraetta makes a surprising discovery and Deafy closes in on Zelmare and Swanee.",2303.0,,51.0
1387,Asylum: Twisted Horror and Fantasy Tales,4.7,"Struggling comedian Brandon is determined to get through one final show. As the night progresses he starts to relate to his subject matter and slowly wins over his crowd. His final bit was killer, but was anyone left to appreciate it??",2303.0,,117.0
1388,Fukushima 50,6.0,Workers at the Fukushima Daiichi facility in Japan risk their lives and stay at the nuclear power plant to prevent total destruction after the region is devastated by an earthquake and tsunami in 2011.,2302.0,,122.0
1389,Because the Night,5.8,"Almost a decade into his new devoted married life Nathan is rocked to the core when Bob, an unwelcome face from the past, turns up on his doorstep with shocking news, triggering a series of catastrophic decisions.",2302.0,,60.0
1390,Fargo,7.2,"Josto gets revenge, Oraetta comes clean and Ebal teaches Loy a lesson about business.",2300.0,,39.0
1391,Balkanska medja,7.8,A secret operation to capture Slatina Airport in Kosovo after the bombing of Yugoslavia. These events became the most dangerous aggravation of relations between the Russians and the West since the Cuban Missile Crisis.,2299.0,,
