,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
38,Project Power,6.0,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",82317.0,,113.0
39,News of the World,6.8,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",80845.0,73.0,118.0
40,Hamilton,8.4,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",80625.0,90.0,160.0
41,Dara iz Jasenovca,8.7,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,80179.0,,130.0
42,The Midnight Sky,5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",79940.0,,118.0
43,I'm Thinking of Ending Things,6.6,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",77673.0,78.0,134.0
44,The Social Dilemma,7.6,"Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",77449.0,78.0,94.0
45,Underwater,5.9,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,75533.0,,95.0
46,"Tiger King: Murder, Mayhem and Madness",7.5,"A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot.",75335.0,,45.0
47,Emily in Paris,6.9,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,74680.0,,30.0
48,The Outsider,7.7,Investigators are confounded over an unspeakable crime that's been committed.,74632.0,,60.0
49,Bloodshot,5.7,"Ray Garrison, a slain soldier, is re-animated with superpowers.",73471.0,,109.0
50,Coolie No. 1,4.2,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",72769.0,,134.0
51,365 dni,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",71722.0,,114.0
52,Unorthodox,8.0,Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad.,71519.0,,53.0
53,Paranormal,8.5,"Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of Doctor Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events.",70875.0,,45.0
54,The New Mutants,5.3,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",70815.0,,94.0
55,Locke & Key,7.4,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.",70068.0,,48.0
56,Mank,6.9,1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).,69202.0,79.0,131.0
57,Minari,7.5,A Korean family starts a farm in 1980s Arkansas.,68841.0,89.0,115.0
58,Run,6.7,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,63649.0,67.0,90.0
59,Raised by Wolves,7.5,Androids are tasked with raising human children on a mysterious planet.,61294.0,,
60,Unhinged,6.0,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",61238.0,,90.0
61,Holidate,6.1,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",60643.0,,104.0
62,Dolittle,5.6,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,58545.0,,101.0
63,Boss Level,6.8,"Trapped in a time loop that constantly repeats the day of his murder, a former special forces agent must unlock the mystery behind his untimely demise.",57707.0,,100.0
64,The King of Staten Island,7.1,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,56950.0,67.0,136.0
65,Paatal Lok,7.8,"A down and out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a journalist. The pursuit of it leads him to 'Paatal Lok', and to shocking discoveries in the past of the four suspects.",56540.0,,44.0
66,Laxmii,2.4,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.",56113.0,,141.0
67,Normal People,8.5,"Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives.",54210.0,,339.0
68,I Am Not Okay with This,7.5,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.",53060.0,,30.0
69,Star Trek: Picard,7.5,Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard (Sir Patrick Stewart) in the next chapter of his life.,52633.0,,46.0
70,Space Force,6.7,The people tasked with creating a sixth branch of the armed services: The Space Force.,52352.0,,30.0
